"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","246-99","他に分類されない通信機器操作員","航空管制官、音響技術員、ミキサー（テレビ・ラジオ）、スイッチャー（映像切換操作員）、録音技術員"
"","","","","249","他に分類されない専門的職業","249-01","行政書士","行政書士"
"","","","","","","249-02","不動産鑑定士","不動産鑑定士"
"","","","","","","249-03","ラジオ・テレビアナウンサー","アナウンサー、天気予報解説者（気象予報士）、テレビ・ラジオ司会者"
"","","","","","","249-04","通訳","英語通訳、手話通訳者"
"","","","","","","249-05","速記者","速記者"
"","","","","","","249-06","調律師","ピアノ調律師"
"","","","","","","249-07","調教師","犬訓練士、馬調教師"
"","","","","","","249-08","通関士","通関士"
"","","","","","","249-99","他に分類されないその他の専門的職業","アートディレクター、企業信用調査員、検数人（検数協会）、広告ディレクター、サーチャー（特許）、調香師、美術品補修員"
"C","事務的職業","25","一般事務の職業","251","総務事務員","251-01","総務事務員","株式事務員、広報係事務員、庶務係事務員、総務係事務員、文書係事務員"
"","","","","252","人事事務員","252-01","人事係事務員","求人係事務員、給与係事務員、人事管理事務員、福利厚生事務員、労務管理係"
"","","","","","","252-02","教育・研修係事務員","研修係事務員、研修企画事務員"
"","","","","253","企画・調査事務員","253-01","企画係事務員（商品企画を除く）","イベントプランナー、営業企画係（企画が主であるもの）、経営企画事務員、資材計画係事務員、生産計画事務員、店舗開発事務員、販売企画事務員、販売促進部員、マーケティング企画事務員"
"","","","","","","253-02","商品企画事務員","出版物企画員、商品開発部員"
"","","","","","","253-03","調査事務員","マーケッター、マーケティングリサーチャー"
"","","","","254","受付・案内事務員","254-01","会社・団体受付係","案内係（会社）、会社受付係"
"","","","","","","254-99","他に分類されない受付・案内事務員","カウンター受付係（図書館、博物館）、銀行店頭案内人、自動車整備工場フロント係、ショールーム受付係、美容室受付係（美容師でないもの）"
"","","","","255","秘書","255-01","秘書","会社社長秘書、セクレタリー"
"","","","","256","電話応接事務員","256-01","電話交換手","案内台交換手、構内電話交換手、国際電話オペレーター"
"","","","","","","256-02","コールセンターオペレーター","お客様相談室係（電話によるもの）、通信販売受付事務員（電話によるもの）、テレコミュニケーター、電話調査オペレーター"
"","","","","","","256-03","テレフォンアポインター","電話事務員（勧誘に従事するもの）"
"","","","","","","256-99","他に分類されない電話応接事務員",""
"","","","","257","総合事務員","257-01","総合事務員 ","一般事務員"
"","","","","","","257-97","事務補助員","宛名書人、会社メール係、補助事務員、臨時事務員"
"","","","","258","医療・介護事務員","258-01","医療事務員","医療秘書、健康保険請求事務員、歯科医療請求事務員、調剤薬局事務員、病院受付係、病棟クラーク"
"","","","","","","258-02","介護事務員","介護保険事務員、介護保険請求事務員"
"","","","","259","その他の一般事務の職業","259-01","通信販売受付事務員（電話を除く）","インターネット通販受付事務員"
"","","","","","","259-02","診療情報管理係事務員","診療情報管理士、診療録係員、病歴係"
"","","","","","","259-99","他に分類されない一般事務の職業","船舶パーサー、法務係事務員"
"","","26","会計事務の職業","261","現金出納事務員","261-01","現金出納事務員","ガス料金収納事務員、支払出納事務員、支払窓口事務員、社会保険料徴収係員、出納事務員、水道料金収納事務員、徴税係員、電気料金収納事務員、電話料金収納事務員、放送受信料収納事務員"
"","","","","262","銀行等窓口事務員","262-01","銀行等窓口事務員","銀行窓口係、信用金庫窓口係、テラー、郵便局貯金窓口係、預貯金係員"
"","","","","263","経理事務員","263-01","経理事務員","会計経理事務員、会計事務員、税務会計事務員（公認会計士事務所、税理士事務所）"
"","","","","269","その他の会計事務の職業","269-01","予算係事務員","予算係員、予算事務員"
"","","","","","","269-02","用度係事務員","消耗品出納事務員、物品購入調達事務員、物品購買事務員"
"","","","","","","269-03","原価計算・見積事務員","原価計算事務員、建築積算事務員、設計見積係員、引越見積員"
"","","","","","","269-99","他に分類されない会計事務の職業","財務事務員、投資信託計理事務員"
"","","27","生産関連事務の職業","271","生産現場事務員","271-01","生産・工程管理事務員","工程管理事務員、資材仕入事務員、生産管理事務員、製品原価管理事務員"
"","","","","","","271-02","他に分類されない生産現場事務員","建設工事現場事務員、現場記録事務員、鉱山現場事務員"
"","","","","272","出荷・受荷係事務員 ","272-01","クリーニング等受入係員","クリーニング注文受入事務員、クリーニング取次所従事者、DPEショップ店員、デジタル写真プリント注文受入事務員"
"","","","","","","272-02","検収・検品係員 ","検品検収員、資材検収事務員、倉庫検収係員、納品検査係員"
"","","","","","","272-03","保管・管理係員","在庫管理事務員、資材管理事務員、商品管理係、倉庫管理係"
"","","","","","","272-04","出荷・発送係員","運送事務員、出荷事務員、出庫管理係、船積出荷係員"
"","","28","営業・販売関連事務の職業","281","営業・販売事務員","281-01","仕入係事務員","外注係、商品仕入係"
"","","","","","","281-02","販売係事務員 ","宴会係事務員、結婚式予約・相談係、信用調査事務員、ブライダルコーディネーター、旅行会社カウンター係"
"","","","","","","281-03","営業事務員","営業アシスタント、受発注管理事務員"
"","","","","","","281-04","貿易事務員","通関業務係、輸出入事務員"
"","","","","","","281-05","金融・保険事務員","貸付調査係事務員、貸付融資係事務員、損害査定係事務員、保険金支払係事務員、有価証券売買事務員、郵便局保険窓口係"
"","","","","289","その他の営業・販売関連事務の職業","289-99","その他の営業・販売関連事務の職業","中古自動車査定員、店舗巡回指導員、フランチャイズチェーン・スーパーバイザー、ラウンダー、労働者派遣コーディネーター"
"","","29","集金人","291","集金人","291-01","集金人","公衆電話料金集金人、自動サービス機集金人、新聞購読料集金人、料金集金人（電気・ガス・水道）"
"","","","","292","訪問調査員","291-02","訪問調査員","市場調査員（訪問調査）、統計調査員（訪問調査）"
"","","","","299","その他の外勤事務の職業","299-01","検針員","温泉メーター検針員、ガスメーター検針員、水道メーター検針員、電気メーター検針員"
"","","","","","","299-99","他に分類されない外勤事務の職業","交通量調査員、車庫調査員"
"","","30","運輸・郵便事務の職業","301","旅客・貨物係事務員 ","301-01","運輸出改札・旅客係","駅出改札係、駅務員、航空券販売員（航空会社）、空港旅客係、座席予約装置操作員（交通機関、旅行社）、船客案内係、鉄道旅客係"
"","","","","","","301-02","有料道路料金収受員","料金係（有料道路）、料金収受員（有料道路、高速道路）"
"","","","","","","301-03","貨物受付事務員","貨物係、航空貨物係、鉄道貨物係"
"","","","","302","運行管理事務員","302-01","鉄道運行管理事務員","車両管理係事務員、鉄道運転計画事務員、鉄道運転司令"
"","","","","","","302-02","貨物自動車運行管理事務員","貨物運送運行管理者、貨物運送事務員、トラック配車係"
"","","","","","","302-03","旅客自動車運行管理事務員","タクシー運行管理事務員、タクシー配車オペレーター、ハイヤー管理事務員、バス運行管理員"
"","","","","","","302-04","船舶運航管理事務員","海運運航管理事務員、配船・運航計画事務員"
"","","","","","","302-05","航空運航管理事務員","航空運航管理者、航空ディスパッチャー"
"","","","","303","郵便事務員","303-01","郵便窓口事務員","郵便局小包係、郵便局郵便窓口係"
"","","","","","","303-02","郵便内務事務員 ","郵便区分員、郵便継送係員、郵便内務員"
"","","31","事務用機器操作の職業","311","パーソナルコンピュータ操作員","311-01","パーソナルコンピュータ操作員","パソコンオペレーター、PCオペレーター"
"","","","","312","データ入力係員","312-01","データ入力係員","キーパンチャー、データエントリー係員、データ入力オペレーター"
"","","","","313","コンピュータ操作員（パーソナルコンピュータを除く）","313-01","コンピュータ操作員（パーソナルコンピュータを除く）","オフコン操作員、電子計算機オペレーター、汎用機オペレーター、メインフレームオペレーター"
"","","","","319","その他の事務用機器操作の職業","319-99","その他の事務用機器操作の職業","OCR（光学式文字読取装置）オペレーター、電子複写機操作員"
"D","販売の職業","32","商品販売の職業","321","小売店主・店長","321-01","コンビニエンスストア店長","コンビニエンスストア店長（主に販売の仕事に従事するもの）"
"","","","","","","321-02","ガソリンスタンド支配人","ガソリンスタンド支配人（主に販売の仕事に従事するもの）"
"","","","","","","321-99","他に分類されない小売店主・店長","家電量販店店長（主に販売の仕事に従事するもの）、小売店主（主に販売の仕事に従事するもの）、ドラックストア店長（薬剤師ではないもの：主に販売の仕事に従事するもの）、ホームセンター店長（主に販売の仕事に従事するもの）、洋服小売店店長（主に販売の仕事に従事するもの）"
"","","","","322","卸売店主・店長","322-01","卸売店主・店長 ","飲食料品卸売店主（主に販売の仕事に従事するもの）、卸売店長（主に販売の仕事に従事するもの）、建築資材卸売店主（主に販売の仕事に従事するもの）、飼料・肥料卸売店主（主に販売の仕事に従事するもの）"
"","","","","323","小売店販売員","323-01","レジ係 ","キャッシャー、レジチェッカー、レジスター係"
"","","","","","","323-02","百貨店・スーパーマーケット販売店員","スーパーマーケット店員、スーパーマーケット販売員、デパート店員、百貨店販売員"
"","","","","","","323-03","コンビニエンスストア店員","コンビニエンスストア店員"
"","","","","","","323-04","衣服・身の回り品販売店員","かばん販売店員、くつ販売店員、子供服販売店員、シューフィッター、寝具販売店員、男子服販売店員、婦人服販売店員、リサイクルショップ販売店員（古着）"
"","","","","","","323-05","飲食料品販売店員 ","菓子・パン販売店員、コーヒーショップ店員、食料品販売店員、ハンバーガーショップ店員、ベーカリーショップ店員"
"","","","","","","323-06","自動車販売店員 ","中古車販売員"
"","","","","","","323-07","電気機器販売店員","家電量販店販売員、中古電気製品販売店員、電器店員"
"","","","","","","323-08","医薬品・化粧品販売店員","医薬品登録販売者、化粧品販売員、美容部員"
"","","","","","","323-09","ガソリンスタンド販売員","ガソリンスタンドサービスマン、セルフスタンド店員"
"","","","","","","323-99","他に分類されない小売店販売員","駅構内売店販売員、家具販売店員、楽器販売店員、眼鏡販売員、玩具店店員、CDショップ店員、携帯電話販売店員、古書店員、自転車販売店員、ジュエリー製品販売店員、書店店員、スポーツ用品販売店員、中古ゲーム用ソフト販売店員、中古ジュエリー製品販売店員、ホームセンター店員、時計販売店員、フラワーショップ店員、文房具販売店員、ペットショップ店員"
"","","","","324","卸売・商品実演販売員","324-01","卸売販売員","卸売店販売員、水産仲買店員、青果仲買店員、繊維卸店員"
"","","","","","","324-02","商品実演販売員","商品販売実演者、デモンストレーター（実演者：販売店員）、ファッションマネキン、マネキン販売員（実演販売を行うもの）"
"","","","","325","商品訪問・移動販売員","325-01","商品訪問販売員","家庭薬配置員、行商人、化粧品訪問販売員"
"","","","","","","325-02","移動販売員","映画館中売人、豆腐呼売人、列車内販売員"
"","","","","","","325-03","露店販売員","屋台飲食物販売人、露店商"
"","","","","326","再生資源回収・卸売人","326-01","再生資源回収・卸売人","再生資源卸売人、再生資源回収人（卸売まで行うもの）、再生資源仲買人、リサイクル品回収人（卸売まで行うもの）"
"","","","","327","商品仕入営業員","327-01","商品仕入営業員","仕入営業員、仕入係（外勤を主とするもの）、バイヤー"
"","","33","販売類似の職業","331","不動産仲介・売買人 ","331-01","不動産仲介・売買人","土地建物仲立人、土地建物売買人、不動産仲介人、不動産売買人"
"","","","","332","保険代理人、保険仲立人","332-01","保険代理人","生命保険代理店主、保険代理店主"
"","","","","","","332-02","保険仲立人","保険ブローカー"
"","","","","333","有価証券売買・仲立人、金融仲立人","333-01","有価証券売買・仲立人","証券会社店頭係、証券外務員（内勤のもの）"
"","","","","","","333-02","金融仲立人","株式トレーダー、為替ディーラー、債券トレーダー"
"","","","","334","質屋店主・店員","334-01","質屋店主・店員","質物鑑定人、質屋店員、質屋貸付係"
"","","","","339","その他の販売類似の職業","339-01","商品仲立人","卸売市場仲卸人、ゴルフ会員権販売員、仲介人（商品仲介業）"
"","","","","","","339-02","宝くじ等販売人","場外投票券売場窓口係、宝くじ販売人、払戻窓口係員（競馬・競輪場、場外売場）、プレイガイド店員"
"","","","","","","339-03","競売人","卸売市場せり人"
"","","","","","","339-99","他に分類されない販売類似の職業","交換人（パチンコ景品交換所）、商品券販売員、チケットショップ店員、両替業務員"
"","","34","営業の職業","341","飲食料品販売営業員","341-01","飲食料品販売営業員","飲食料品営業部員、飲食料品ルート営業員"
"","","","","342","化学品販売営業員（医薬品を除く）","342-01","化学品販売営業員（医薬品を除く）","化学品営業部員、化学品ルート営業員"
"","","","","343","医薬品営業員 ","343-01","医薬品営業員 ","医薬情報担当者、営業員（医薬品卸売業）、MR"
"","","","","344","機械器具販売営業員","344-01","機械器具販売営業員","機械部品販売営業員、技術営業員（一般機械）、金属加工機械販売営業員、建設機械製造受注営業員、生産用機械器具販売営業員、セールスエンジニア（一般機械）、半導体製造装置販売営業員"
"","","","","","","344-02","電気機械器具販売営業員","医療用電子機器販売営業員、技術営業員（電気機器）、セールスエンジニア（電気機器）、電気計測器販売営業員、電子応用装置製造受注営業員、電子機器部品販売営業員、電子計算機販売営業員、パーソナルコンピュータ販売営業員、発送電用電気機械器具製造受注営業員、民生用電気機械器具販売営業員"
"","","","","","","344-03","自動車販売営業員 ","自動車営業員"
"","","","","","","344-99","他に分類されない機械器具販売営業員","カメラ販売営業員、光学機器販売営業員、船舶製造受注営業員、鉄道車両製造受注営業員、時計販売営業員"
"","","","","345","通信・情報システム営業員","345-01","通信営業員","通信回線営業員、通信機器販売営業員"
"","","","","","","345-02","情報システム営業員","システム営業部員、システム開発営業員"
"","","","","346","金融・保険営業員","346-01","銀行等渉外係","銀行渉外係、信用金庫渉外係、信用組合渉外係"
"","","","","","","346-02","証券営業員","証券外務員（外勤のもの）"
"","","","","","","346-03","保険営業員","生命保険営業員、損害保険営業員、保険営業職員"
"","","","","347","不動産営業員","347-01","不動産営業員","住宅・不動産会社営業部員、住宅リフォーム営業員、宅地建物営業員、用地仕入営業員"
"","","","","349","その他の営業の職業","349-01","旅行営業員","旅行営業員"
"","","","","","","349-02","広告営業員","アカウントエグゼクティブ（広告代理業）、広告会社営業部員"
"","","","","","","349-03","製造受注営業員","印刷営業員、建設工事営業員"
"","","","","","","349-04","会員勧誘員","冠婚葬祭会員募集員、ゴルフ場会員募集員、スポーツクラブ会員募集員、リゾートクラブ会員募集員、レジャークラブ会員募集員"
"","","","","","","349-05","新聞拡張員","新聞販売拡張員"
"","","","","","","349-99","他に分類されない営業の職業","外務員（商品取引業）、パッケージソフトウェア販売営業員"
"E","サービスの職業","35","家庭生活支援サービスの職業","351","家政婦（夫）、家事手伝","351-01","家政婦（夫）、家事手伝","お手伝い、介護家政婦、家事代行員"
"","","","","359","その他の家庭生活支援サービスの職業","359-01","ベビーシッター","チャイルドシッター、乳幼児シッター、乳幼児世話人（個人家庭）"
"","","","","","","359-99","他に分類されない家庭生活支援サービスの職業","洗たく人（個人家庭）、料理人（個人家庭）"
"","","36","施設介護員","361","施設介護員","361-01","施設介護員","ケアワーカー（医療施設、老人福祉施設）、介護サービス員（老人保健施設）"
"","","","","362","訪問介護職","362-01","訪問介護員","在宅介護員、在宅ケアワーカー、訪問介護サービス員、ホームヘルパー"
"","","","","","","362-02","訪問入浴介助員","在宅入浴介助員、在宅入浴サービス員、訪問入浴サービス員、訪問入浴ヘルパー"
"","","37","保健医療サービスの職業","371","看護助手","371-01","看護助手","看護アシスタント、看護ヘルパー、看護補助者"
"","","","","372","歯科助手","372-01","歯科助手","歯科アシスタント、歯科補助者"
"","","","","379","その他の保健医療サービスの職業","379-01","動物病院助手","アニマルヘルステクニシャン、獣医補助者、動物衛生看護士、動物病院アシスタント、動物病院看護補助者"
"","","","","","","379-99","他に分類されない保健医療サービスの職業","検眼助手、調剤助手、リハビリ助手"
"","","38","生活衛生サービスの職業","381","理容師","381-01","理容師","管理理容師、床屋、理髪師"
"","","","","382","美容師","382-01","美容師","髪結師、管理美容師、スタイリスト（美容師）、メークアップアーティスト"
"","","","","383","美容サービス職","383-01","着付師","衣装着付師"
"","","","","","","383-02","エステティシャン","美顔術師"
"","","","","","","383-03","ネイリスト","ネイル・アーティスト、ペディキュア師、マニキュア師"
"","","","","","","383-99","他に分類されない美容サービス職","かつら結髪師、床山、ヘアメイク係（美容師ではないもの）"
"","","","","384","浴場従事人","384-01","浴場従事人","温泉浴場従事人、サウナ支配人（主に浴場業務に従事するもの）、銭湯経営者（主に浴場業務に従事するもの）、番台、ヘルスセンター浴場従事人、浴場清掃員"
"","","","","385","クリーニング職","385-01","クリーニング工 ","貸おしぼり洗たく工、クリーニング師、しみ抜き工、洗たく工、ドライクリーニング工、リネンサプライ業従事者（洗たくに従事するもの）"
"","","","","","","385-02","クリーニング仕上工","アイロン仕上工（クリーニング）、クリーニングプレス工、洗たく整理工、洗たくプレス工、リネンサプライ業従事者（洗たくの仕上げに従事するもの）"
"","","","","389","その他の生活衛生サービスの職業","389-01","洗張職","洗張工、湯のし工"
"","","","","","","389-97","理容師・美容師補助者","美容師アシスタント、美容師補助者、理容師アシスタント、理容師補助者"
"","","39","飲食物調理の職業","391","調理人","391-01","日本料理調理人","板前、うどん料理人、そば料理人、天ぷら揚げ職人（飲食店）、ふぐ調理師、和食調理人"
"","","","","","","391-02","すし職人","すし職人（回転すし）、にぎりずし職人（飲食店）"
"","","","","","","391-03","西洋料理調理人","イタリア料理調理人、コック、シェフ、パティシエ（飲食店）、フランス料理調理人、洋食調理人"
"","","","","","","391-04","中華料理調理人","中国料理調理人、ラーメン調理人"
"","","","","","","391-05","給食調理人","機内食製造工、給食係員、給食センター調理人、社員食堂調理人、調理人（病院）"
"","","","","","","391-97","調理補助者","調理助手、調理手伝人"
"","","","","","","391-98","調理人見習","すし職人（見習）、西洋料理調理人（見習）、中華料理調理人（見習）、日本料理調理人（見習）"
"","","","","","","391-99","他に分類されない調理人","居酒屋調理人、喫茶店調理人、漁船司厨員、出張料理調理人、大衆食堂調理人、持ち帰り弁当調理人"
"","","","","392","バーテンダー","392-01","バーテンダー","バーテン、バーテンダー見習"
"","","40","接客・給仕の職業","401","飲食店主・店長","401-01","レストラン店長","ファミリーレストラン店長（主に接客の仕事に従事するもの）、レストラン店長（主に接客の仕事に従事するもの）"
"","","","","","","401-99","他に分類されない飲食店主・店長","居酒屋店長（主に接客の仕事に従事するもの）、ハンバーガー店マネージャー（主に接客の仕事に従事するもの）"
"","","","","402","旅館・ホテル支配人","402-01","旅館・ホテル支配人","番頭（旅館）、ペンション経営者（主に接客の仕事に従事するもの）、ホテル支配人（主に接客の仕事に従事するもの）、旅館支配人（主に接客の仕事に従事するもの）、旅館主（主に接客の仕事に従事するもの）"
"","","","","403","飲食物給仕係","403-01","配ぜん人","ウエイター（宴会場）、ウエイトレス（宴会場）、配ぜん係"
"","","","","","","403-02","ウエイター・ウエイトレス（飲食店ホール係）","ウエイター（飲食店）、ウエイトレス（飲食店）、フロア係（飲食店）、フロアスタッフ（飲食店）、ホール係（飲食店）、ホールスタッフ（飲食店）"
"","","","","","","403-03","ソムリエ","ソムリエール"
"","","","","404","旅館・ホテル・乗物接客員","404-01","旅館・ホテルフロント係","ホテルフロント係、予約係（ホテル）、予約係（旅館）、旅館フロント係"
"","","","","","","404-02","旅館・ホテル接客係","接客係（ホテル）、接客係（旅館）、ドアマン、ベルパーソン、ベルボーイ・ベルガール、ホテル案内係、ホテルサービス係、旅館案内係、旅館サービス係"
"","","","","","","404-03","旅館・ホテル客室係","客室係（ホテル）、客室係（旅館）、仲居、ハウスキーパー（客室係）、ベッドメーク係、ルーム係"
"","","","","","","404-04","乗物客室係","キャビンアテンダント、航空客室乗務員、スチュワーデス、スチュワード、船室係、船舶旅客係、フライトアテンダント"
"","","","","405","接客社交係、芸者、ダンサー","405-01","接客社交係","コンパニオン（バー）、コンパニオン（クラブ）、接客係（バー）、接客係（クラブ）、ホステス、ホスト"
"","","","","","","405-02","芸者、ダンサー","芸妓、フロアダンサー、舞妓"
"","","","","406","娯楽場等接客員","406-01","娯楽場等支配人","映画館支配人（主に接客の仕事に従事するもの）、ゲームセンター管理人（主に接客の仕事に従事するもの）、ゴルフ場支配人（主に接客の仕事に従事するもの）、パチンコ店支配人（主に接客の仕事に従事するもの）"
"","","","","","","406-02","娯楽場等接客係","インフォメーション係（娯楽場）、カウンター係（娯楽場）、景品交換係（パチンコ店）、娯楽場出・改札係、娯楽場放送係、座席案内係（娯楽場）、接客係（娯楽場）、入場券販売係（娯楽場）、フロント係（娯楽場）"
"","","","","","","406-03","娯楽場等遊戯施設係","アトラクション係（遊戯施設）、貸遊具係、ゲームセンター機械係、乗物運転操作員（遊園地）、ホール係（パチンコ店）、遊園地施設係、遊戯機械係、遊戯施設係、遊戯装置係、遊具オペレーター"
"","","","","","","406-04","スポーツ施設係","キャディマスター、ゴルフ場係員、ゴルフ場フロント係、スポーツクラブ係員、スポーツ・クラブハウス係、スポーツセンター係員、スポーツ用具貸出係、テニス場係員、フィットネスクラブ係員、フロント係（ゴルフ場）"
"","","","","","","406-05","キャディ","ハウスキャディ"
"","","","","409","その他の接客・給仕の職業","409-99","その他の接客・給仕の職業","案内係（百貨店）、接客係（百貨店）"
"","","41","居住施設・ビル等の管理の職業","411","マンション・アパート・下宿管理人","411-01","マンション・アパート・下宿管理人","アパート管理人、下宿管理人、住宅施設管理人、住込管理人（マンション）、フロント係（マンション）、マンション管理人"
"","","","","412","寄宿舎・寮管理人","412-01","寄宿舎・寮管理人","合宿所管理人、寄宿舎管理人、寄宿舎世話係、舎監、社宅管理人、住込管理人（寄宿舎・寮）、世帯寮管理人、独身寮管理人、寮管理人"
"","","","","413","ビル管理人","413-01","ビル管理人","ビル管理員"
"","","","","414","駐車場・駐輪場管理人","414-01","駐車場・駐輪場管理人","駐車場係、駐車場管理人、駐車場誘導員、駐輪場管理人、パーキングメーター管理人"
"","","","","419","その他の居住施設・ビル等の管理の職業","419-01","別荘管理人","貸別荘管理人"
"","","","","","","419-99","他に分類されない居住施設・ビル等の管理の職業","公民館管理人、スポーツ競技場管理人、体育館管理人、託児所管理人"
"","","42","その他のサービスの職業","421","添乗員、観光案内人","421-01","添乗員","ツアーエスコート、ツアーコンダクター、旅行添乗員"
"","","","","","","421-02","観光案内人","アルパインガイド、観光通訳案内人、通訳案内士、通訳ガイド、登山案内人、トラベルガイド、名所・旧跡案内人、旅行・観光案内人、旅行・観光ガイド"
"","","","","422","物品一時預り人","422-01","物品一時預り人","クローク係、コインロッカー管理人、手荷物一時預り人"
"","","","","423","物品賃貸人","423-01","物品賃貸人","貸衣装人、自転車賃貸人、レンタルショップ店員、レンタカー営業所員"
"","","","","424","広告宣伝人","424-01","広告宣伝員","キャンペーン宣伝員、コマーシャルモデル、イベントコンパニオン、ショールーム員、ファッションモデル"
"","","","","","","424-02","チラシ配布員","ビラ配り人、ポスティング人"
"","","","","425","葬儀師、火葬係","425-01","葬儀師","葬儀セレモニー準備人、葬儀店員、葬祭飾付人、葬祭ディレクター、湯灌師"
"","","","","","","425-02","火葬係","火葬作業員、火葬場現業員"
"","","","","426","トリマー","426-01","トリマー","グルーマー"
"","","","","429","他に分類されないサービスの職業","429-01","ポーター","手回品運搬人"
"","","","","","","429-02","学童保育指導員 ","学童保育指導員"
"","","","","","","429-03","カイロプラクティック・アロマセラピー等従事人","アロマセラピスト、カイロプラクター、整体師、タラソテラピスト、リフレクソロジスト"
